P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,5,5,4];
d =[[ 0 , 10 , 8 , 9 , 8 ],
[ 10 , 0 , 4 , 6 , 4 ],
[ 8 , 4 , 0 , 7 , 2 ],
[ 9 , 6 , 7 , 0 , 7 ],
[ 8 , 4 , 2 , 7 , 0 ],];
t =[[ 0 , 10 , 8 , 9 , 8 ],
[ 10 , 0 , 4 , 6 , 4 ],
[ 8 , 4 , 0 , 0 , 2 ],
[ 9 , 6 , 0 , 0 , 7 ],
[ 8 , 4 , 2 , 7 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,4,4,4];
d =[[ 0 , 10 , 8 , 8 , 10 ],
[ 10 , 0 , 4 , 6 , 6 ],
[ 8 , 4 , 0 , 4 , 5 ],
[ 8 , 6 , 4 , 0 , 4 ],
[ 10 , 6 , 5 , 4 , 0 ],];
t =[[ 0 , 10 , 8 , 8 , 10 ],
[ 10 , 0 , 4 , 6 , 0 ],
[ 8 , 4 , 0 , 4 , 5 ],
[ 8 , 6 , 4 , 0 , 4 ],
[ 10 , 0 , 5 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,2,3,1];
d =[[ 0 , 10 , 8 , 7 , 10 ],
[ 10 , 0 , 3 , 6 , 4 ],
[ 8 , 3 , 0 , 5 , 5 ],
[ 7 , 6 , 5 , 0 , 5 ],
[ 10 , 4 , 5 , 5 , 0 ],];
t =[[ 0 , 10 , 8 , 7 , 10 ],
[ 10 , 0 , 3 , 6 , 4 ],
[ 8 , 3 , 0 , 5 , 0 ],
[ 7 , 6 , 5 , 0 , 5 ],
[ 10 , 4 , 0 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,4,2,1];
d =[[ 0 , 10 , 6 , 9 , 8 ],
[ 10 , 0 , 5 , 3 , 3 ],
[ 6 , 5 , 0 , 4 , 4 ],
[ 9 , 3 , 4 , 0 , 3 ],
[ 8 , 3 , 4 , 3 , 0 ],];
t =[[ 0 , 10 , 6 , 9 , 8 ],
[ 10 , 0 , 5 , 3 , 0 ],
[ 6 , 5 , 0 , 4 , 4 ],
[ 9 , 3 , 4 , 0 , 3 ],
[ 8 , 0 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,3,3,1];
d =[[ 0 , 10 , 7 , 11 , 12 ],
[ 10 , 0 , 4 , 4 , 4 ],
[ 7 , 4 , 0 , 6 , 6 ],
[ 11 , 4 , 6 , 0 , 3 ],
[ 12 , 4 , 6 , 3 , 0 ],];
t =[[ 0 , 10 , 7 , 11 , 12 ],
[ 10 , 0 , 4 , 4 , 0 ],
[ 7 , 4 , 0 , 6 , 6 ],
[ 11 , 4 , 6 , 0 , 3 ],
[ 12 , 0 , 6 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,5,4,4];
d =[[ 0 , 7 , 7 , 12 , 7 ],
[ 7 , 0 , 3 , 6 , 2 ],
[ 7 , 3 , 0 , 7 , 3 ],
[ 12 , 6 , 7 , 0 , 7 ],
[ 7 , 2 , 3 , 7 , 0 ],];
t =[[ 0 , 7 , 7 , 12 , 7 ],
[ 7 , 0 , 3 , 6 , 2 ],
[ 7 , 3 , 0 , 7 , 0 ],
[ 12 , 6 , 7 , 0 , 7 ],
[ 7 , 2 , 0 , 7 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,1,4,3];
d =[[ 0 , 5 , 7 , 9 , 10 ],
[ 5 , 0 , 3 , 6 , 6 ],
[ 7 , 3 , 0 , 4 , 4 ],
[ 9 , 6 , 4 , 0 , 2 ],
[ 10 , 6 , 4 , 2 , 0 ],];
t =[[ 0 , 5 , 7 , 0 , 10 ],
[ 5 , 0 , 3 , 6 , 6 ],
[ 7 , 3 , 0 , 4 , 4 ],
[ 0 , 6 , 4 , 0 , 2 ],
[ 10 , 6 , 4 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,2,4,4];
d =[[ 0 , 9 , 9 , 11 , 11 ],
[ 9 , 0 , 4 , 6 , 4 ],
[ 9 , 4 , 0 , 4 , 5 ],
[ 11 , 6 , 4 , 0 , 4 ],
[ 11 , 4 , 5 , 4 , 0 ],];
t =[[ 0 , 9 , 9 , 11 , 11 ],
[ 9 , 0 , 4 , 6 , 4 ],
[ 9 , 4 , 0 , 4 , 5 ],
[ 11 , 6 , 4 , 0 , 0 ],
[ 11 , 4 , 5 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,5,4,2];
d =[[ 0 , 12 , 6 , 7 , 10 ],
[ 12 , 0 , 8 , 7 , 5 ],
[ 6 , 8 , 0 , 3 , 7 ],
[ 7 , 7 , 3 , 0 , 6 ],
[ 10 , 5 , 7 , 6 , 0 ],];
t =[[ 0 , 12 , 6 , 7 , 10 ],
[ 12 , 0 , 8 , 0 , 5 ],
[ 6 , 8 , 0 , 3 , 7 ],
[ 7 , 0 , 3 , 0 , 6 ],
[ 10 , 5 , 7 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,3,1,5];
d =[[ 0 , 9 , 8 , 11 , 10 ],
[ 9 , 0 , 5 , 5 , 5 ],
[ 8 , 5 , 0 , 5 , 4 ],
[ 11 , 5 , 5 , 0 , 2 ],
[ 10 , 5 , 4 , 2 , 0 ],];
t =[[ 0 , 9 , 8 , 11 , 10 ],
[ 9 , 0 , 5 , 0 , 5 ],
[ 8 , 5 , 0 , 5 , 4 ],
[ 11 , 0 , 5 , 0 , 2 ],
[ 10 , 5 , 4 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
