P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,2,4];
d =[[ 0 , 8 , 5 , 7 , 12 ],
[ 8 , 0 , 5 , 3 , 7 ],
[ 5 , 5 , 0 , 4 , 8 ],
[ 7 , 3 , 4 , 0 , 8 ],
[ 12 , 7 , 8 , 8 , 0 ],];
t =[[ 0 , 8 , 5 , 7 , 12 ],
[ 8 , 0 , 0 , 3 , 7 ],
[ 5 , 0 , 0 , 4 , 8 ],
[ 7 , 3 , 4 , 0 , 8 ],
[ 12 , 7 , 8 , 8 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,4,2];
d =[[ 0 , 10 , 9 , 11 , 6 ],
[ 10 , 0 , 2 , 6 , 6 ],
[ 9 , 2 , 0 , 7 , 6 ],
[ 11 , 6 , 7 , 0 , 7 ],
[ 6 , 6 , 6 , 7 , 0 ],];
t =[[ 0 , 10 , 9 , 11 , 6 ],
[ 10 , 0 , 2 , 6 , 6 ],
[ 9 , 2 , 0 , 7 , 6 ],
[ 11 , 6 , 7 , 0 , 0 ],
[ 6 , 6 , 6 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,4,2,2];
d =[[ 0 , 10 , 8 , 9 , 8 ],
[ 10 , 0 , 5 , 4 , 5 ],
[ 8 , 5 , 0 , 6 , 5 ],
[ 9 , 4 , 6 , 0 , 3 ],
[ 8 , 5 , 5 , 3 , 0 ],];
t =[[ 0 , 10 , 8 , 0 , 8 ],
[ 10 , 0 , 5 , 4 , 5 ],
[ 8 , 5 , 0 , 6 , 5 ],
[ 0 , 4 , 6 , 0 , 3 ],
[ 8 , 5 , 5 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,2,5,4];
d =[[ 0 , 11 , 7 , 9 , 12 ],
[ 11 , 0 , 6 , 4 , 4 ],
[ 7 , 6 , 0 , 5 , 6 ],
[ 9 , 4 , 5 , 0 , 6 ],
[ 12 , 4 , 6 , 6 , 0 ],];
t =[[ 0 , 0 , 7 , 9 , 12 ],
[ 0 , 0 , 6 , 4 , 4 ],
[ 7 , 6 , 0 , 5 , 6 ],
[ 9 , 4 , 5 , 0 , 6 ],
[ 12 , 4 , 6 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
