P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,1,3];
d =[[ 0 , 9 , 10 , 12 , 10 ],
[ 9 , 0 , 5 , 6 , 5 ],
[ 10 , 5 , 0 , 3 , 2 ],
[ 12 , 6 , 3 , 0 , 3 ],
[ 10 , 5 , 2 , 3 , 0 ],];
t =[[ 0 , 9 , 10 , 12 , 10 ],
[ 9 , 0 , 5 , 6 , 0 ],
[ 10 , 5 , 0 , 3 , 2 ],
[ 12 , 6 , 3 , 0 , 3 ],
[ 10 , 0 , 2 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,4,3,4];
d =[[ 0 , 8 , 11 , 9 , 11 ],
[ 8 , 0 , 4 , 3 , 4 ],
[ 11 , 4 , 0 , 3 , 4 ],
[ 9 , 3 , 3 , 0 , 4 ],
[ 11 , 4 , 4 , 4 , 0 ],];
t =[[ 0 , 8 , 11 , 9 , 11 ],
[ 8 , 0 , 4 , 3 , 4 ],
[ 11 , 4 , 0 , 3 , 0 ],
[ 9 , 3 , 3 , 0 , 4 ],
[ 11 , 4 , 0 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,1,3];
d =[[ 0 , 5 , 9 , 8 , 7 ],
[ 5 , 0 , 5 , 5 , 4 ],
[ 9 , 5 , 0 , 4 , 3 ],
[ 8 , 5 , 4 , 0 , 4 ],
[ 7 , 4 , 3 , 4 , 0 ],];
t =[[ 0 , 5 , 9 , 8 , 7 ],
[ 5 , 0 , 5 , 5 , 4 ],
[ 9 , 5 , 0 , 4 , 3 ],
[ 8 , 5 , 4 , 0 , 0 ],
[ 7 , 4 , 3 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
