P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,3,3,3];
d =[[ 0 , 11 , 10 , 9 , 10 ],
[ 11 , 0 , 5 , 4 , 4 ],
[ 10 , 5 , 0 , 3 , 6 ],
[ 9 , 4 , 3 , 0 , 5 ],
[ 10 , 4 , 6 , 5 , 0 ],];
t =[[ 0 , 11 , 10 , 9 , 10 ],
[ 11 , 0 , 0 , 4 , 4 ],
[ 10 , 0 , 0 , 3 , 6 ],
[ 9 , 4 , 3 , 0 , 5 ],
[ 10 , 4 , 6 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,3,5];
d =[[ 0 , 7 , 10 , 10 , 11 ],
[ 7 , 0 , 4 , 4 , 7 ],
[ 10 , 4 , 0 , 2 , 4 ],
[ 10 , 4 , 2 , 0 , 4 ],
[ 11 , 7 , 4 , 4 , 0 ],];
t =[[ 0 , 7 , 10 , 0 , 11 ],
[ 7 , 0 , 4 , 4 , 7 ],
[ 10 , 4 , 0 , 2 , 4 ],
[ 0 , 4 , 2 , 0 , 4 ],
[ 11 , 7 , 4 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,1,1,3];
d =[[ 0 , 9 , 8 , 8 , 9 ],
[ 9 , 0 , 3 , 3 , 5 ],
[ 8 , 3 , 0 , 2 , 3 ],
[ 8 , 3 , 2 , 0 , 4 ],
[ 9 , 5 , 3 , 4 , 0 ],];
t =[[ 0 , 0 , 8 , 8 , 9 ],
[ 0 , 0 , 3 , 3 , 5 ],
[ 8 , 3 , 0 , 2 , 3 ],
[ 8 , 3 , 2 , 0 , 4 ],
[ 9 , 5 , 3 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,3,3,5];
d =[[ 0 , 9 , 9 , 10 , 10 ],
[ 9 , 0 , 4 , 5 , 4 ],
[ 9 , 4 , 0 , 7 , 6 ],
[ 10 , 5 , 7 , 0 , 3 ],
[ 10 , 4 , 6 , 3 , 0 ],];
t =[[ 0 , 9 , 9 , 10 , 10 ],
[ 9 , 0 , 4 , 5 , 4 ],
[ 9 , 4 , 0 , 0 , 6 ],
[ 10 , 5 , 0 , 0 , 3 ],
[ 10 , 4 , 6 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,1,1,2];
d =[[ 0 , 8 , 7 , 10 , 6 ],
[ 8 , 0 , 4 , 4 , 4 ],
[ 7 , 4 , 0 , 5 , 3 ],
[ 10 , 4 , 5 , 0 , 5 ],
[ 6 , 4 , 3 , 5 , 0 ],];
t =[[ 0 , 8 , 7 , 0 , 6 ],
[ 8 , 0 , 4 , 4 , 4 ],
[ 7 , 4 , 0 , 5 , 3 ],
[ 0 , 4 , 5 , 0 , 5 ],
[ 6 , 4 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 0 , 1 ],
