P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,4,3,4];
d =[[ 0 , 8 , 10 , 10 , 10 ],
[ 8 , 0 , 5 , 5 , 7 ],
[ 10 , 5 , 0 , 2 , 4 ],
[ 10 , 5 , 2 , 0 , 4 ],
[ 10 , 7 , 4 , 4 , 0 ],];
t =[[ 0 , 8 , 10 , 0 , 10 ],
[ 8 , 0 , 5 , 5 , 7 ],
[ 10 , 5 , 0 , 2 , 4 ],
[ 0 , 5 , 2 , 0 , 4 ],
[ 10 , 7 , 4 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,5,4,4];
d =[[ 0 , 7 , 6 , 9 , 5 ],
[ 7 , 0 , 2 , 4 , 3 ],
[ 6 , 2 , 0 , 4 , 3 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 5 , 3 , 3 , 5 , 0 ],];
t =[[ 0 , 7 , 0 , 9 , 5 ],
[ 7 , 0 , 2 , 4 , 3 ],
[ 0 , 2 , 0 , 4 , 3 ],
[ 9 , 4 , 4 , 0 , 5 ],
[ 5 , 3 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,2,1,4];
d =[[ 0 , 9 , 9 , 11 , 9 ],
[ 9 , 0 , 6 , 4 , 3 ],
[ 9 , 6 , 0 , 7 , 7 ],
[ 11 , 4 , 7 , 0 , 5 ],
[ 9 , 3 , 7 , 5 , 0 ],];
t =[[ 0 , 9 , 9 , 11 , 0 ],
[ 9 , 0 , 6 , 4 , 3 ],
[ 9 , 6 , 0 , 7 , 7 ],
[ 11 , 4 , 7 , 0 , 5 ],
[ 0 , 3 , 7 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,3,4,4];
d =[[ 0 , 10 , 10 , 8 , 8 ],
[ 10 , 0 , 4 , 8 , 5 ],
[ 10 , 4 , 0 , 6 , 4 ],
[ 8 , 8 , 6 , 0 , 4 ],
[ 8 , 5 , 4 , 4 , 0 ],];
t =[[ 0 , 10 , 10 , 8 , 8 ],
[ 10 , 0 , 4 , 0 , 5 ],
[ 10 , 4 , 0 , 6 , 4 ],
[ 8 , 0 , 6 , 0 , 4 ],
[ 8 , 5 , 4 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,2,2,3];
d =[[ 0 , 10 , 10 , 6 , 10 ],
[ 10 , 0 , 2 , 6 , 8 ],
[ 10 , 2 , 0 , 6 , 7 ],
[ 6 , 6 , 6 , 0 , 6 ],
[ 10 , 8 , 7 , 6 , 0 ],];
t =[[ 0 , 10 , 10 , 6 , 0 ],
[ 10 , 0 , 2 , 6 , 8 ],
[ 10 , 2 , 0 , 6 , 7 ],
[ 6 , 6 , 6 , 0 , 6 ],
[ 0 , 8 , 7 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,4,3,3];
d =[[ 0 , 9 , 10 , 10 , 8 ],
[ 9 , 0 , 4 , 5 , 5 ],
[ 10 , 4 , 0 , 2 , 3 ],
[ 10 , 5 , 2 , 0 , 4 ],
[ 8 , 5 , 3 , 4 , 0 ],];
t =[[ 0 , 9 , 10 , 10 , 8 ],
[ 9 , 0 , 4 , 0 , 5 ],
[ 10 , 4 , 0 , 2 , 3 ],
[ 10 , 0 , 2 , 0 , 4 ],
[ 8 , 5 , 3 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,1,3,4];
d =[[ 0 , 8 , 6 , 9 , 9 ],
[ 8 , 0 , 3 , 5 , 4 ],
[ 6 , 3 , 0 , 5 , 5 ],
[ 9 , 5 , 5 , 0 , 3 ],
[ 9 , 4 , 5 , 3 , 0 ],];
t =[[ 0 , 8 , 6 , 0 , 9 ],
[ 8 , 0 , 3 , 5 , 4 ],
[ 6 , 3 , 0 , 5 , 5 ],
[ 0 , 5 , 5 , 0 , 3 ],
[ 9 , 4 , 5 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,1,1];
d =[[ 0 , 11 , 10 , 10 , 11 ],
[ 11 , 0 , 5 , 4 , 3 ],
[ 10 , 5 , 0 , 6 , 6 ],
[ 10 , 4 , 6 , 0 , 2 ],
[ 11 , 3 , 6 , 2 , 0 ],];
t =[[ 0 , 0 , 10 , 10 , 11 ],
[ 0 , 0 , 5 , 4 , 3 ],
