P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,2,2,4];
d =[[ 0 , 11 , 8 , 5 , 7 ],
[ 11 , 0 , 5 , 7 , 5 ],
[ 8 , 5 , 0 , 4 , 4 ],
[ 5 , 7 , 4 , 0 , 4 ],
[ 7 , 5 , 4 , 4 , 0 ],];
t =[[ 0 , 11 , 8 , 5 , 7 ],
[ 11 , 0 , 5 , 7 , 0 ],
[ 8 , 5 , 0 , 4 , 4 ],
[ 5 , 7 , 4 , 0 , 4 ],
[ 7 , 0 , 4 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,5,1,5,3];
d =[[ 0 , 8 , 6 , 9 , 6 ],
[ 8 , 0 , 5 , 4 , 4 ],
[ 6 , 5 , 0 , 5 , 3 ],
[ 9 , 4 , 5 , 0 , 5 ],
[ 6 , 4 , 3 , 5 , 0 ],];
t =[[ 0 , 8 , 6 , 9 , 0 ],
[ 8 , 0 , 5 , 4 , 4 ],
[ 6 , 5 , 0 , 5 , 3 ],
[ 9 , 4 , 5 , 0 , 5 ],
[ 0 , 4 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,3,3,2];
d =[[ 0 , 10 , 8 , 12 , 12 ],
[ 10 , 0 , 7 , 5 , 4 ],
[ 8 , 7 , 0 , 6 , 6 ],
[ 12 , 5 , 6 , 0 , 2 ],
[ 12 , 4 , 6 , 2 , 0 ],];
t =[[ 0 , 10 , 8 , 12 , 12 ],
[ 10 , 0 , 0 , 5 , 4 ],
[ 8 , 0 , 0 , 6 , 6 ],
[ 12 , 5 , 6 , 0 , 2 ],
[ 12 , 4 , 6 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,1,3,2];
d =[[ 0 , 9 , 11 , 8 , 10 ],
[ 9 , 0 , 5 , 4 , 4 ],
[ 11 , 5 , 0 , 4 , 2 ],
[ 8 , 4 , 4 , 0 , 4 ],
[ 10 , 4 , 2 , 4 , 0 ],];
t =[[ 0 , 9 , 11 , 8 , 10 ],
[ 9 , 0 , 5 , 4 , 4 ],
[ 11 , 5 , 0 , 0 , 2 ],
[ 8 , 4 , 0 , 0 , 4 ],
[ 10 , 4 , 2 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,1,4,4];
d =[[ 0 , 9 , 9 , 9 , 8 ],
[ 9 , 0 , 5 , 5 , 2 ],
[ 9 , 5 , 0 , 3 , 5 ],
[ 9 , 5 , 3 , 0 , 5 ],
[ 8 , 2 , 5 , 5 , 0 ],];
t =[[ 0 , 9 , 9 , 9 , 8 ],
[ 9 , 0 , 5 , 5 , 2 ],
[ 9 , 5 , 0 , 3 , 0 ],
[ 9 , 5 , 3 , 0 , 5 ],
[ 8 , 2 , 0 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,5,1,4];
d =[[ 0 , 7 , 6 , 8 , 6 ],
[ 7 , 0 , 3 , 4 , 5 ],
[ 6 , 3 , 0 , 4 , 4 ],
[ 8 , 4 , 4 , 0 , 3 ],
[ 6 , 5 , 4 , 3 , 0 ],];
t =[[ 0 , 7 , 6 , 0 , 6 ],
[ 7 , 0 , 3 , 4 , 5 ],
[ 6 , 3 , 0 , 4 , 4 ],
[ 0 , 4 , 4 , 0 , 3 ],
[ 6 , 5 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,2,5,4];
d =[[ 0 , 9 , 11 , 11 , 10 ],
[ 9 , 0 , 5 , 6 , 5 ],
[ 11 , 5 , 0 , 3 , 3 ],
[ 11 , 6 , 3 , 0 , 3 ],
[ 10 , 5 , 3 , 3 , 0 ],];
t =[[ 0 , 9 , 11 , 11 , 10 ],
[ 9 , 0 , 5 , 6 , 5 ],
[ 11 , 5 , 0 , 3 , 3 ],
[ 11 , 6 , 3 , 0 , 0 ],
[ 10 , 5 , 3 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,1,4,5];
d =[[ 0 , 11 , 7 , 11 , 6 ],
[ 11 , 0 , 6 , 2 , 6 ],
[ 7 , 6 , 0 , 7 , 4 ],
[ 11 , 2 , 7 , 0 , 6 ],
[ 6 , 6 , 4 , 6 , 0 ],];
t =[[ 0 , 11 , 7 , 0 , 6 ],
[ 11 , 0 , 6 , 2 , 6 ],
[ 7 , 6 , 0 , 7 , 4 ],
[ 0 , 2 , 7 , 0 , 6 ],
[ 6 , 6 , 4 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,5,4,5];
d =[[ 0 , 9 , 8 , 9 , 9 ],
[ 9 , 0 , 3 , 2 , 3 ],
[ 8 , 3 , 0 , 3 , 4 ],
[ 9 , 2 , 3 , 0 , 3 ],
[ 9 , 3 , 4 , 3 , 0 ],];
t =[[ 0 , 0 , 8 , 9 , 9 ],
[ 0 , 0 , 3 , 2 , 3 ],
[ 8 , 3 , 0 , 3 , 4 ],
[ 9 , 2 , 3 , 0 , 3 ],
[ 9 , 3 , 4 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,4,1,2];
d =[[ 0 , 5 , 9 , 8 , 9 ],
[ 5 , 0 , 6 , 5 , 7 ],
[ 9 , 6 , 0 , 3 , 4 ],
[ 8 , 5 , 3 , 0 , 3 ],
[ 9 , 7 , 4 , 3 , 0 ],];
t =[[ 0 , 5 , 9 , 8 , 9 ],
[ 5 , 0 , 6 , 5 , 7 ],
[ 9 , 6 , 0 , 3 , 0 ],
[ 8 , 5 , 3 , 0 , 3 ],
[ 9 , 7 , 0 , 3 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],];
