P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,1,3,2];
d =[[ 0 , 11 , 7 , 10 , 10 ],
[ 11 , 0 , 5 , 6 , 6 ],
[ 7 , 5 , 0 , 6 , 7 ],
[ 10 , 6 , 6 , 0 , 2 ],
[ 10 , 6 , 7 , 2 , 0 ],];
t =[[ 0 , 11 , 7 , 10 , 10 ],
[ 11 , 0 , 5 , 6 , 6 ],
[ 7 , 5 , 0 , 0 , 7 ],
[ 10 , 6 , 0 , 0 , 2 ],
[ 10 , 6 , 7 , 2 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,2,1,5,1];
d =[[ 0 , 6 , 5 , 10 , 9 ],
[ 6 , 0 , 2 , 7 , 5 ],
[ 5 , 2 , 0 , 7 , 5 ],
[ 10 , 7 , 7 , 0 , 6 ],
[ 9 , 5 , 5 , 6 , 0 ],];
t =[[ 0 , 6 , 5 , 10 , 0 ],
[ 6 , 0 , 2 , 7 , 5 ],
[ 5 , 2 , 0 , 7 , 5 ],
[ 10 , 7 , 7 , 0 , 6 ],
[ 0 , 5 , 5 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 0 ],
[ 0 , 0 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,4,5,5];
d =[[ 0 , 10 , 5 , 10 , 9 ],
[ 10 , 0 , 6 , 4 , 3 ],
[ 5 , 6 , 0 , 6 , 5 ],
[ 10 , 4 , 6 , 0 , 5 ],
[ 9 , 3 , 5 , 5 , 0 ],];
t =[[ 0 , 10 , 5 , 10 , 9 ],
[ 10 , 0 , 6 , 4 , 3 ],
[ 5 , 6 , 0 , 6 , 5 ],
[ 10 , 4 , 6 , 0 , 0 ],
[ 9 , 3 , 5 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 0 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,5,1,2];
d =[[ 0 , 6 , 8 , 9 , 9 ],
[ 6 , 0 , 3 , 5 , 5 ],
[ 8 , 3 , 0 , 4 , 4 ],
[ 9 , 5 , 4 , 0 , 5 ],
[ 9 , 5 , 4 , 5 , 0 ],];
t =[[ 0 , 6 , 8 , 9 , 9 ],
[ 6 , 0 , 3 , 5 , 0 ],
[ 8 , 3 , 0 , 4 , 4 ],
[ 9 , 5 , 4 , 0 , 5 ],
[ 9 , 0 , 4 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,5,1];
d =[[ 0 , 12 , 9 , 11 , 10 ],
[ 12 , 0 , 6 , 4 , 4 ],
[ 9 , 6 , 0 , 7 , 3 ],
[ 11 , 4 , 7 , 0 , 5 ],
[ 10 , 4 , 3 , 5 , 0 ],];
t =[[ 0 , 0 , 9 , 11 , 10 ],
[ 0 , 0 , 6 , 4 , 4 ],
[ 9 , 6 , 0 , 7 , 3 ],
[ 11 , 4 , 7 , 0 , 5 ],
[ 10 , 4 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 1 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,5,2,5];
d =[[ 0 , 12 , 6 , 8 , 5 ],
[ 12 , 0 , 8 , 6 , 8 ],
[ 6 , 8 , 0 , 4 , 4 ],
[ 8 , 6 , 4 , 0 , 5 ],
[ 5 , 8 , 4 , 5 , 0 ],];
t =[[ 0 , 12 , 6 , 8 , 5 ],
[ 12 , 0 , 8 , 6 , 0 ],
[ 6 , 8 , 0 , 4 , 4 ],
[ 8 , 6 , 4 , 0 , 5 ],
[ 5 , 0 , 4 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,1,1,4];
d =[[ 0 , 7 , 9 , 10 , 12 ],
[ 7 , 0 , 3 , 6 , 7 ],
[ 9 , 3 , 0 , 6 , 7 ],
[ 10 , 6 , 6 , 0 , 4 ],
[ 12 , 7 , 7 , 4 , 0 ],];
t =[[ 0 , 7 , 9 , 0 , 12 ],
[ 7 , 0 , 3 , 6 , 7 ],
[ 9 , 3 , 0 , 6 , 7 ],
[ 0 , 6 , 6 , 0 , 4 ],
[ 12 , 7 , 7 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 1 , 1 , 0 , 0 ],
[ 0 , 0 , 0 , 1 , 1 ],
[ 0 , 0 , 0 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,4,1,1];
d =[[ 0 , 11 , 11 , 9 , 10 ],
