P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,1,2,5,3];
d =[[ 0 , 8 , 11 , 10 , 9 ],
[ 8 , 0 , 5 , 4 , 3 ],
[ 11 , 5 , 0 , 3 , 4 ],
[ 10 , 4 , 3 , 0 , 4 ],
[ 9 , 3 , 4 , 4 , 0 ],];
t =[[ 0 , 8 , 11 , 10 , 0 ],
[ 8 , 0 , 5 , 4 , 3 ],
[ 11 , 5 , 0 , 3 , 4 ],
[ 10 , 4 , 3 , 0 , 4 ],
[ 0 , 3 , 4 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,3,3,5];
d =[[ 0 , 9 , 8 , 9 , 7 ],
[ 9 , 0 , 6 , 2 , 6 ],
[ 8 , 6 , 0 , 6 , 3 ],
[ 9 , 2 , 6 , 0 , 6 ],
[ 7 , 6 , 3 , 6 , 0 ],];
t =[[ 0 , 9 , 8 , 9 , 7 ],
[ 9 , 0 , 0 , 2 , 6 ],
[ 8 , 0 , 0 , 6 , 3 ],
[ 9 , 2 , 6 , 0 , 6 ],
[ 7 , 6 , 3 , 6 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 0 ],
[ 0 , 0 , 1 , 0 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,2,2,2];
d =[[ 0 , 10 , 11 , 5 , 9 ],
[ 10 , 0 , 6 , 7 , 6 ],
[ 11 , 6 , 0 , 7 , 3 ],
[ 5 , 7 , 7 , 0 , 5 ],
[ 9 , 6 , 3 , 5 , 0 ],];
t =[[ 0 , 10 , 11 , 5 , 9 ],
[ 10 , 0 , 6 , 7 , 0 ],
[ 11 , 6 , 0 , 7 , 3 ],
[ 5 , 7 , 7 , 0 , 5 ],
[ 9 , 0 , 3 , 5 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
