P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,3,5,3,3];
d =[[ 0 , 10 , 9 , 11 , 9 ],
[ 10 , 0 , 5 , 3 , 3 ],
[ 9 , 5 , 0 , 6 , 3 ],
[ 11 , 3 , 6 , 0 , 4 ],
[ 9 , 3 , 3 , 4 , 0 ],];
t =[[ 0 , 10 , 9 , 11 , 0 ],
[ 10 , 0 , 5 , 3 , 3 ],
[ 9 , 5 , 0 , 6 , 3 ],
[ 11 , 3 , 6 , 0 , 4 ],
[ 0 , 3 , 3 , 4 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 0 , 1 , 0 , 1 ],
[ 0 , 1 , 0 , 1 , 1 ],
[ 0 , 1 , 1 , 1 , 1 ],];
P= 5 ;
T= 100 ;
R= 10 ;
M= 3 ;
v= 3 ;
r=[0,4,4,1,1];
d =[[ 0 , 11 , 5 , 6 , 9 ],
[ 11 , 0 , 7 , 7 , 7 ],
[ 5 , 7 , 0 , 2 , 7 ],
[ 6 , 7 , 2 , 0 , 7 ],
[ 9 , 7 , 7 , 7 , 0 ],];
t =[[ 0 , 11 , 5 , 6 , 9 ],
[ 11 , 0 , 7 , 7 , 7 ],
[ 5 , 7 , 0 , 2 , 7 ],
[ 6 , 7 , 2 , 0 , 0 ],
[ 9 , 7 , 7 , 0 , 0 ],];
alpha =[[ 100 , 10 , 10 , 10 , 10 ],
[ 10 , 100 , 10 , 10 , 10 ],
[ 10 , 10 , 100 , 10 , 10 ],
[ 10 , 10 , 10 , 100 , 10 ],
[ 10 , 10 , 10 , 10 , 100 ],];
wir =[[ 1 , 0 , 0 , 0 , 0 ],
[ 0 , 1 , 0 , 0 , 0 ],
[ 0 , 0 , 1 , 1 , 0 ],
